Well,Sample,Target,Cq
A1,22,SlAct,18.65721883832405
A2,22,SlAct,18.75977992506372
A3,22,SlAct,18.709018289793953
A4,16,SlAct,19.422383675843456
A5,16,SlAct,19.62853349576064
A6,16,SlAct,18.61047332256291
A7,22,SlFLS3,18.49324425208563
A8,22,SlFLS3,17.983111468945317
A9,22,SlFLS3,19.34550851024451
A10,16,SlFLS3,18.82156373652137
A11,16,SlFLS3,19.8890178364568
A12,16,SlFLS3,20.04312686156876
A13,22,SlWAK1,20.519894333572378
A14,22,SlWAK1,20.671223395003892
A15,22,SlWAK1,20.746435009291055
A16,16,SlWAK1,22.156774078466015
A17,16,SlWAK1,22.171534386881575
A18,16,SlWAK1,22.367343153516273
B1,35,SlAct,19.21393414947913
B2,35,SlAct,19.285129577552667
B3,35,SlAct,19.12688675190401
B4,11,SlAct,18.28258259338171
B5,11,SlAct,18.226238733705827
B6,11,SlAct,18.069832013494583
B7,35,SlFLS3,19.563746585679027
B8,35,SlFLS3,17.113816910918878
B9,35,SlFLS3,16.971116566685268
B10,11,SlFLS3,16.325057524469567
B11,11,SlFLS3,17.00074385618926
B12,11,SlFLS3,16.996841052772222
B13,35,SlWAK1,22.3605346835975
B14,35,SlWAK1,22.498072562736027
B15,35,SlWAK1,22.298682591784537
B16,11,SlWAK1,29.125227232662937
B17,11,SlWAK1,28.76941041566432
B18,11,SlWAK1,28.77889199474042
C1,04,SlAct,18.49544043212896
C2,04,SlAct,18.478100603495996
C3,04,SlAct,18.49736773236846
C4,48,SlAct,19.10555073245665
C5,48,SlAct,18.7830037666214
C6,48,SlAct,18.57274022099525
C7,04,SlFLS3,22.369948666191537
C8,04,SlFLS3,19.65635994360089
C9,04,SlFLS3,19.233618120604746
C10,48,SlFLS3,20.639071096074467
C11,48,SlFLS3,19.980896324118778
C12,48,SlFLS3,20.57505370496191
C13,04,SlWAK1,31.831038263432625
C14,04,SlWAK1,32.02214894315883
C15,04,SlWAK1,32.04007440404645
C16,48,SlWAK1,24.260827629164915
C17,48,SlWAK1,24.28970598682664
